experiment_id,run_name,seed,method_or_arm,metric,step,wandb_value,local_value,absolute_error,exact_within_1e-9,wandb_source_csv,local_metrics_path
55_r1_fresh_seed_baseline_fairness,ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000,2027,block4,lr/adamw,0,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T12_58_21.083+08_00.csv,formal/core/seed2027/20260817T052322+0000_formal_seed2027/ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000/r1_metrics.csv
55_r1_fresh_seed_baseline_fairness,ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000,2027,block4,lr/adamw,20,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T12_58_21.083+08_00.csv,formal/core/seed2027/20260817T052322+0000_formal_seed2027/ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000/r1_metrics.csv
55_r1_fresh_seed_baseline_fairness,ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000,2027,block4,lr/adamw,40,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T12_58_21.083+08_00.csv,formal/core/seed2027/20260817T052322+0000_formal_seed2027/ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000/r1_metrics.csv
55_r1_fresh_seed_baseline_fairness,ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000,2027,block4,lr/adamw,60,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T12_58_21.083+08_00.csv,formal/core/seed2027/20260817T052322+0000_formal_seed2027/ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000/r1_metrics.csv
55_r1_fresh_seed_baseline_fairness,ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000,2027,block4,lr/adamw,80,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T12_58_21.083+08_00.csv,formal/core/seed2027/20260817T052322+0000_formal_seed2027/ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000/r1_metrics.csv
55_r1_fresh_seed_baseline_fairness,ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000,2027,block4,lr/adamw,100,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T12_58_21.083+08_00.csv,formal/core/seed2027/20260817T052322+0000_formal_seed2027/ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000/r1_metrics.csv
55_r1_fresh_seed_baseline_fairness,ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000,2027,block4,lr/adamw,120,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T12_58_21.083+08_00.csv,formal/core/seed2027/20260817T052322+0000_formal_seed2027/ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000/r1_metrics.csv
55_r1_fresh_seed_baseline_fairness,ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000,2027,block4,lr/adamw,140,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T12_58_21.083+08_00.csv,formal/core/seed2027/20260817T052322+0000_formal_seed2027/ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000/r1_metrics.csv
55_r1_fresh_seed_baseline_fairness,ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000,2027,block4,lr/adamw,160,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T12_58_21.083+08_00.csv,formal/core/seed2027/20260817T052322+0000_formal_seed2027/ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000/r1_metrics.csv
55_r1_fresh_seed_baseline_fairness,ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000,2027,block4,lr/adamw,180,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T12_58_21.083+08_00.csv,formal/core/seed2027/20260817T052322+0000_formal_seed2027/ex55_r1_fresh_seed_block4_seed2027_20260817T052322+0000/r1_metrics.csv
