input_id,kind,location,bytes,expected_sha256,observed_sha256,passed,note
unified_manifest,local_file,PRIVATE_PATH_REDACTED,3026,634ecfa12cd2ec46e8a72f354989f0dad09155a2489d7fd2f707cfb1c70a5c0d,634ecfa12cd2ec46e8a72f354989f0dad09155a2489d7fd2f707cfb1c70a5c0d,True,exact frozen input
unified_chain,local_file,PRIVATE_PATH_REDACTED,2424,a1fe373c605401695a1330d7605098927146b8de2f1f1db38c606e62aa2f1130,a1fe373c605401695a1330d7605098927146b8de2f1f1db38c606e62aa2f1130,True,exact frozen input
unified_claim_matrix,local_file,PRIVATE_PATH_REDACTED,3065,38ee2dadd55b69a73cbcd4e76a54e05a078b22796a0bf5ae2917af6f93190316,38ee2dadd55b69a73cbcd4e76a54e05a078b22796a0bf5ae2917af6f93190316,True,exact frozen input
unified_report,local_file,PRIVATE_PATH_REDACTED,17416,f037f1d0d8c028d9160f8e73de7c8ee2f47b432394dfaaddfad7754956fb90f0,f037f1d0d8c028d9160f8e73de7c8ee2f47b432394dfaaddfad7754956fb90f0,True,exact frozen input
mdp04_manifest,local_file,PRIVATE_PATH_REDACTED,12725,d6a2144d1693a93687bf530349f5eaff4c4dff54261097703f7d106f6b286890,d6a2144d1693a93687bf530349f5eaff4c4dff54261097703f7d106f6b286890,True,exact frozen input
mdp04_origin_summary,local_file,PRIVATE_PATH_REDACTED,3089,a3ccef0e9ceb794d08e19c8437450af48c29f8d83c990d4d01ce31e2fb641608,a3ccef0e9ceb794d08e19c8437450af48c29f8d83c990d4d01ce31e2fb641608,True,exact frozen input
mdp04_report,local_file,PRIVATE_PATH_REDACTED,6576,4b5026cbbfdf98a2e6ace285fb7541a75d2bdacbfe2ead7b1ab5e28314a8f7cb,4b5026cbbfdf98a2e6ace285fb7541a75d2bdacbfe2ead7b1ab5e28314a8f7cb,True,exact frozen input
mdp05_acceptance,local_file,PRIVATE_PATH_REDACTED,1861,225ef2b148e8b66d1e825c3faca7b968a810aa9df996739fd39abd87f2f4de93,225ef2b148e8b66d1e825c3faca7b968a810aa9df996739fd39abd87f2f4de93,True,exact frozen input
mdp05_manifest,local_file,PRIVATE_PATH_REDACTED,7847,6cba65232a6192132f348c8958f940f22ba9cf6892944bfe737c86981924c78d,6cba65232a6192132f348c8958f940f22ba9cf6892944bfe737c86981924c78d,True,exact frozen input
mdp05_primary_tests,local_file,PRIVATE_PATH_REDACTED,1487,7d411f0a786bb8c2d5c0d08059e7fc945805cf82a3be7e8f6d3a3553093cc747,7d411f0a786bb8c2d5c0d08059e7fc945805cf82a3be7e8f6d3a3553093cc747,True,exact frozen input
mdp05_joined,local_file,PRIVATE_PATH_REDACTED,18106,55f090043f8f0e2d251487175d1fef7ed0567fef8c745f1a620f2c6b2166714e,55f090043f8f0e2d251487175d1fef7ed0567fef8c745f1a620f2c6b2166714e,True,exact frozen input
mdp05_report,local_file,PRIVATE_PATH_REDACTED,5695,4946098964f12636876c0a9dd8e050daca85d9377bc59402f1c2378c562b02b6,4946098964f12636876c0a9dd8e050daca85d9377bc59402f1c2378c562b02b6,True,exact frozen input
geo01b_zip,source_zip,PRIVATE_PATH_REDACTED,13042311,c4e8f6bf9cb260a4d04965389576fcce337e9a4e5526d63ed7acc3a425425aa6,c4e8f6bf9cb260a4d04965389576fcce337e9a4e5526d63ed7acc3a425425aa6,True,exact accepted GEO-01B handoff
geo01a_lineage,accepted_lineage_only,source ZIP not present locally on closure date,,7a4551d26340d181a67cb5039aed2c10121dbf1db8d5f03e0a77f99338834911,,True,engineering pilot only; excluded from scientific closure and not reverified
