experiment_id,run_name,seed,method_or_arm,metric,step,wandb_value,local_value,absolute_error,exact_within_1e-9,wandb_source_csv,local_metrics_path
53_r1_matched_diag_module_placement,mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000,2024,all_none,lr/adamw,0,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T13_01_06.146+08_00.csv,formal/seed2024/all_none/20260817T014803+0000_formal_seed2024/mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000/r1_metrics.csv
53_r1_matched_diag_module_placement,mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000,2024,all_none,lr/adamw,20,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T13_01_06.146+08_00.csv,formal/seed2024/all_none/20260817T014803+0000_formal_seed2024/mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000/r1_metrics.csv
53_r1_matched_diag_module_placement,mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000,2024,all_none,lr/adamw,40,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T13_01_06.146+08_00.csv,formal/seed2024/all_none/20260817T014803+0000_formal_seed2024/mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000/r1_metrics.csv
53_r1_matched_diag_module_placement,mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000,2024,all_none,lr/adamw,60,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T13_01_06.146+08_00.csv,formal/seed2024/all_none/20260817T014803+0000_formal_seed2024/mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000/r1_metrics.csv
53_r1_matched_diag_module_placement,mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000,2024,all_none,lr/adamw,80,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T13_01_06.146+08_00.csv,formal/seed2024/all_none/20260817T014803+0000_formal_seed2024/mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000/r1_metrics.csv
53_r1_matched_diag_module_placement,mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000,2024,all_none,lr/adamw,100,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T13_01_06.146+08_00.csv,formal/seed2024/all_none/20260817T014803+0000_formal_seed2024/mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000/r1_metrics.csv
53_r1_matched_diag_module_placement,mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000,2024,all_none,lr/adamw,120,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T13_01_06.146+08_00.csv,formal/seed2024/all_none/20260817T014803+0000_formal_seed2024/mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000/r1_metrics.csv
53_r1_matched_diag_module_placement,mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000,2024,all_none,lr/adamw,140,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T13_01_06.146+08_00.csv,formal/seed2024/all_none/20260817T014803+0000_formal_seed2024/mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000/r1_metrics.csv
53_r1_matched_diag_module_placement,mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000,2024,all_none,lr/adamw,160,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T13_01_06.146+08_00.csv,formal/seed2024/all_none/20260817T014803+0000_formal_seed2024/mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000/r1_metrics.csv
53_r1_matched_diag_module_placement,mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000,2024,all_none,lr/adamw,180,0.0040000000000000001,0.0040000000000000001,0,true,wandb_export_2026-08-20T13_01_06.146+08_00.csv,formal/seed2024/all_none/20260817T014803+0000_formal_seed2024/mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000/r1_metrics.csv
