checkpoint_cell,data_replica,optimizer_step,contrast,left,right,left_normalized_loss,right_normalized_loss,normalized_loss_delta,negative_delta_means
early_muon,0,0,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0,1.0,0.0,left arm is better
early_muon,0,16,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9913799182348624,0.9913799182348624,0.0,left arm is better
early_muon,0,32,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9907523325629091,0.9909901181021853,-0.00023778553927622514,left arm is better
early_muon,0,48,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9951856395163088,1.0002787386233145,-0.005093099107005727,left arm is better
early_muon,0,64,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9947429529506019,0.9995432103854851,-0.004800257434883215,left arm is better
early_muon,0,80,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9980190640674386,1.0004079713686411,-0.0023889073012025586,left arm is better
early_muon,0,96,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9965350571959993,0.9979261737940401,-0.0013911165980408091,left arm is better
early_muon,0,112,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9945394079865565,0.9950256919579534,-0.00048628397139693913,left arm is better
early_muon,0,128,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9926634312826235,0.9926150876585847,4.834362403871584e-05,left arm is better
early_muon,1,0,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0,1.0,0.0,left arm is better
early_muon,1,16,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9948564689883631,0.9948564689883631,0.0,left arm is better
early_muon,1,32,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9947245203225948,0.995010553559657,-0.00028603323706211103,left arm is better
early_muon,1,48,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9997552382253484,1.005513173964148,-0.00575793573879968,left arm is better
early_muon,1,64,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9994854735453593,1.0050823905737847,-0.005596917028425352,left arm is better
early_muon,1,80,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.002506557928698,1.0056454560019874,-0.0031388980732893756,left arm is better
early_muon,1,96,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0006545427245312,1.002664976336917,-0.0020104336123858424,left arm is better
early_muon,1,112,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9994232663168794,1.000593135589022,-0.0011698692721426873,left arm is better
early_muon,1,128,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9965330638086812,0.9969308433639988,-0.0003977795553176122,left arm is better
early_muon,2,0,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0,1.0,0.0,left arm is better
early_muon,2,16,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9926815785011898,0.9926815785011898,0.0,left arm is better
early_muon,2,32,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9926937424591106,0.992954893801512,-0.00026115134240145554,left arm is better
early_muon,2,48,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9966920829962479,1.0017891890955213,-0.005097106099273385,left arm is better
early_muon,2,64,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9959572168456546,1.0008917744122652,-0.004934557566610542,left arm is better
early_muon,2,80,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9976655394052776,1.0001901382919696,-0.0025245988866919866,left arm is better
early_muon,2,96,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9954862202403503,0.9969852411776479,-0.0014990209372975905,left arm is better
early_muon,2,112,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.994368563168147,0.9949487635744504,-0.000580200406303355,left arm is better
early_muon,2,128,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9899425813617585,0.9898967796431067,4.580171865176119e-05,left arm is better
early_newton_full,0,0,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0,1.0,0.0,left arm is better
early_newton_full,0,16,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9935981812548803,0.9935981812548803,0.0,left arm is better
early_newton_full,0,32,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.994615303434093,0.9949890926091204,-0.0003737891750273947,left arm is better
early_newton_full,0,48,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.000408628173354,1.0068929603355627,-0.0064843321622087835,left arm is better
early_newton_full,0,64,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9998141240966478,1.005900082839396,-0.006085958742748199,left arm is better
early_newton_full,0,80,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0038422050084217,1.0068380193031141,-0.0029958142946924227,left arm is better
early_newton_full,0,96,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0021904425965362,1.00399582257999,-0.0018053799834538697,left arm is better
early_newton_full,0,112,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0011964785039305,1.0017259905311269,-0.0005295120271964215,left arm is better
early_newton_full,0,128,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9985472205610124,0.9985703786476193,-2.3158086606911432e-05,left arm is better
early_newton_full,1,0,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0,1.0,0.0,left arm is better
early_newton_full,1,16,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9976109256677512,0.9976109256677512,0.0,left arm is better
early_newton_full,1,32,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9979587778787872,0.9986117261614011,-0.0006529482826139743,left arm is better
early_newton_full,1,48,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0044605792729842,1.0121384079601392,-0.007677828687155053,left arm is better
early_newton_full,1,64,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0047179165366806,1.0121948380599546,-0.007476921523273949,left arm is better
early_newton_full,1,80,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0088363799917544,1.0129661161263417,-0.004129736134587336,left arm is better
early_newton_full,1,96,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0075184103200647,1.0099142882813692,-0.002395877961304471,left arm is better
