event_id,metric,outcome,nested_unit_count,aggregation_role,spearman_rho,pearson_r,origin_mean_count,origin_mean_spearman_rho,within_origin_centered_pearson_r,leave_one_origin_out_spearman_min,leave_one_origin_out_spearman_max,leave_one_origin_out_sign_consistent,inference_role,formal_claim_eligible
delayed_refresh_64,condition_proxy_after_layer_median,oriented_auc_harm,12,secondary_pre_registered,0.216783216783,0.11841609077,4,0,-0.24303631763,-0.233333333333,0.566666666667,False,descriptive_only_no_seed_level_p_value,False
delayed_refresh_64,condition_proxy_before_layer_median,oriented_auc_harm,12,secondary_pre_registered,0.41958041958,0.1722617192,4,0,0.348685385255,-0.1,0.816666666667,False,descriptive_only_no_seed_level_p_value,False
delayed_refresh_64,matched_g_preconditioned_pooled_cosine,oriented_auc_harm,12,secondary_pre_registered,-0.832167832168,-0.838401918817,4,-1,-0.763310765869,-0.95,-0.616666666667,True,descriptive_only_no_seed_level_p_value,False
delayed_refresh_64,matched_g_preconditioned_pooled_fro_ratio,oriented_auc_harm,12,secondary_pre_registered,0.734265734266,0.737248591266,4,0.8,0.65010814585,0.5,0.833333333333,True,descriptive_only_no_seed_level_p_value,False
delayed_refresh_64,matched_g_preconditioned_relative_change_layer_median,oriented_auc_harm,12,primary_layer_median,0.601398601399,0.546697417836,4,0.8,0.729307287187,0.283333333333,0.816666666667,True,descriptive_only_no_seed_level_p_value,False
delayed_refresh_64,relative_a_fro_change_layer_median,oriented_auc_harm,12,primary_layer_median,0.356643356643,0.248497246109,4,0.4,-0.243004536446,-0.183333333333,0.566666666667,False,descriptive_only_no_seed_level_p_value,False
delayed_refresh_64,relative_k_fro_change_layer_median,oriented_auc_harm,12,primary_layer_median,0.356643356643,0.268272125159,4,0.4,-0.254589949879,-0.183333333333,0.566666666667,False,descriptive_only_no_seed_level_p_value,False
delayed_refresh_64,relative_runtime_inverse_fro_change_layer_median,oriented_auc_harm,12,primary_layer_median,-0.34965034965,-0.144700875387,4,-0.4,0.735224263215,-0.666666666667,0.45,False,descriptive_only_no_seed_level_p_value,False
delayed_refresh_64,runtime_ns5_update_pooled_cosine,oriented_auc_harm,12,secondary_pre_registered,-0.783216783217,-0.697671813739,4,-0.8,-0.774581812471,-0.966666666667,-0.483333333333,True,descriptive_only_no_seed_level_p_value,False
delayed_refresh_64,runtime_ns5_update_pooled_fro_ratio,oriented_auc_harm,12,secondary_pre_registered,0.783216783217,0.681505381714,4,0.8,0.763690878428,0.483333333333,0.966666666667,True,descriptive_only_no_seed_level_p_value,False
delayed_refresh_64,runtime_ns5_update_relative_change_layer_median,oriented_auc_harm,12,primary_layer_median,0.657342657343,0.521035599753,4,0.8,0.815468464033,0.183333333333,0.883333333333,True,descriptive_only_no_seed_level_p_value,False
delayed_refresh_64,runtime_resolvent_relative_residual_layer_median,oriented_auc_harm,12,secondary_pre_registered,0.496503496503,0.241022280942,4,0.4,0.759187859721,-0.0333333333333,0.866666666667,False,descriptive_only_no_seed_level_p_value,False
delayed_refresh_64,condition_proxy_after_layer_median,oriented_loss_harm,12,secondary_pre_registered,0.0629370629371,-0.0206738091145,4,0,-0.122649630524,-0.466666666667,0.583333333333,False,descriptive_only_no_seed_level_p_value,False
delayed_refresh_64,condition_proxy_before_layer_median,oriented_loss_harm,12,secondary_pre_registered,0.272727272727,0.0368772808098,4,0,0.499933568365,-0.383333333333,0.833333333333,False,descriptive_only_no_seed_level_p_value,False
delayed_refresh_64,matched_g_preconditioned_pooled_cosine,oriented_loss_harm,12,secondary_pre_registered,-0.762237762238,-0.817710406888,4,-1,-0.670985308214,-0.866666666667,-0.45,True,descriptive_only_no_seed_level_p_value,False
